trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.9991181296463766}",30,0,-105.8089645159819,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.1, 'e': 0.9990756424412622}",20,0,-170.4053482216586,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.9990321561605888}",20,11,-13.746494676610382,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.9989876708478425}",25,0,-211.97758190828606,"{0: 10, 1: 2, 2: 9, 3: 2, 4: 2}",0
46,False,"{'a': 0.1, 'e': 0.9989421865475084}",30,0,-77.71505399378339,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.9988957033050712}",20,0,-165.0737612001576,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
48,False,"{'a': 0.1, 'e': 0.9988482211670138}",25,0,-116.824412269305,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.9987997401808185}",20,0,-81.08892577096775,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.9987502603949663}",20,0,-54.18176702765315,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.9986997818589368}",20,0,-70.30560803928444,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.9986483046232089}",30,6,-72.18347596630531,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.1, 'e': 0.9985958287392593}",20,0,-72.28051879211819,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.9985423542595644}",35,0,-197.87287649867048,"{0: 19, 1: 7, 2: 5, 3: 1, 4: 3}",0
55,False,"{'a': 0.1, 'e': 0.9984878812375985}",20,0,-66.13118112491213,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
56,False,"{'a': 0.1, 'e': 0.9984324097278344}",20,0,-85.13434804438211,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.1, 'e': 0.9983759397857438}",20,0,-104.88774491582026,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.9983184714677966}",25,0,-119.37295786679043,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.1, 'e': 0.9982600048314613}",20,0,-212.08538230375865,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
60,False,"{'a': 0.1, 'e': 0.9982005399352042}",20,0,-162.96445514629008,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
61,False,"{'a': 0.1, 'e': 0.9981400768384904}",25,0,-135.58841807372656,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9980786156017829}",25,0,-174.00174090332752,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
63,False,"{'a': 0.1, 'e': 0.9980161562865429}",25,0,-79.26278217762237,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.99795269895523}",25,0,-145.88427519917317,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.1, 'e': 0.9978882436713011}",25,0,-100.98032985527124,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.9978227904992117}",20,0,-119.31761220613481,"{0: 8, 1: 7, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.1, 'e': 0.9977563395044151}",30,0,-40.21149009183752,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
